,subject_id,round,rate1,rate2,treatment,max_labor,chosen_labor,personality,raw_response
0,1,1,25,40,1,280,14.0,neutral,I choose to work for an income of 280 cents.
1,2,1,25,40,1,280,14.0,neutral,I would like to work for 280 cents.
2,3,1,25,40,1,280,14.0,neutral,I will choose an income of 280 cents.
3,4,1,25,40,1,280,14.0,neutral,I will choose to work for 280 cents.
4,5,1,25,40,1,280,14.0,neutral,I would like to earn an income of 280 cents.
5,6,1,25,40,1,280,14.0,neutral,I will choose to work for an income of 280 cents.
6,7,1,25,40,1,280,14.0,neutral,I will choose to work for an income of 280 cents.
7,8,1,25,40,1,280,14.0,neutral,I will choose to earn an income of 280 cents.
8,9,1,25,40,1,280,14.0,neutral,I will choose to earn an income of 280 cents.
9,10,1,25,40,1,280,14.0,neutral,I choose to work for 280 cents.
10,11,1,25,40,1,280,14.0,neutral,I choose to work for 280 cents.
11,12,1,25,40,1,280,14.0,neutral,I would like to work for 280 cents.
12,13,1,25,40,1,280,14.0,neutral,I will choose to earn an income of 280 cents.
13,14,1,25,40,1,280,14.0,neutral,I would like to choose an income of 280 cents.
14,15,1,25,40,1,280,14.0,neutral,I would like to choose an income of 280 cents.
15,16,1,25,40,1,280,14.0,neutral,I will choose to work for an income of 280 cents.
16,17,1,25,40,1,280,14.0,neutral,I will choose to work for 280 cents.
17,18,1,25,40,1,280,14.0,neutral,I would like to choose an income of 280 cents. 
18,19,1,25,40,1,280,14.0,neutral,I will choose to earn an income of 280 cents.
19,20,1,25,40,1,280,14.0,neutral,I choose to work for 280 cents.
20,21,1,25,40,1,280,14.0,neutral,I will choose to earn an income of 280 cents.
21,22,1,25,40,1,280,14.0,neutral,I will choose to work for 280 cents.
22,23,1,25,40,1,280,14.0,neutral,I would like to choose an income of 280 cents.
23,24,1,25,40,1,280,14.0,neutral,I will choose to work for 280 cents.
24,25,1,25,40,1,280,14.0,neutral,I choose to work for 280 cents.
25,26,1,25,40,1,280,14.0,neutral,I will choose to work for 280 cents.
26,27,1,25,40,1,280,14.0,neutral,I will choose an income of 280 cents.
27,28,1,25,40,1,280,14.0,neutral,I will choose to earn an income of 280 cents.
28,29,1,25,40,1,280,14.0,neutral,I would like to choose an income of 280 cents.
29,30,1,25,40,1,280,14.0,neutral,I will choose to work for an income of 280 cents.
30,31,1,25,40,1,280,14.0,neutral,I will choose an income of 280 cents.
31,32,1,25,40,1,280,14.0,neutral,I choose to work for an income of 280 cents.
32,33,1,25,40,1,280,14.0,neutral,I will choose to work for an income of 280 cents.
33,34,1,25,40,1,280,14.0,neutral,I would like to work for 280 cents.
34,35,1,25,40,1,280,14.0,neutral,I choose to work for an income of 280 cents.
35,36,1,25,40,1,280,14.0,neutral,I choose to earn an income of 280 cents.
36,37,1,25,40,1,280,14.0,neutral,I choose to earn an income of 280 cents.
37,38,1,25,40,1,280,14.0,neutral,I will choose to work for 280 cents.
38,39,1,25,40,1,280,14.0,neutral,I would like to earn 280 cents.
39,40,1,25,40,1,280,14.0,neutral,I will choose an income of 280 cents.
40,41,1,25,40,1,280,14.0,neutral,I choose to work for 280 cents.
41,42,1,25,40,1,280,14.0,neutral,I would like to choose an income of 280 cents.
42,43,1,25,40,1,280,14.0,neutral,I will choose to earn an income of 280 cents.
43,44,1,25,40,1,280,14.0,neutral,I will choose to work for 280 cents.
44,45,1,25,40,1,280,14.0,neutral,I choose to work for 280 cents.
45,46,1,25,40,1,280,14.0,neutral,I will choose an income of 280 cents.
